song_name,timestamp,ax,ay,az,gx,gy,gz,la,rs,tp
telephone,2026-09-01 15:37:22,0.5596,-0.8118,-1.0166,0.2539,0.5596,-1.4019,0.4161999999999999,1.5307,1.9469
telephone,2026-09-01 15:37:22,-2.6912,1.6465,-1.3184,0.7744,0.928,-2.6904,2.4193,2.9494,5.3687
telephone,2026-09-01 15:37:23,-1.2788,1.3247,-0.646,-0.1309,-1.0381,2.3057,0.9513,2.532,3.4833
telephone,2026-09-01 15:37:23,1.7888,-2.8521,-2.5784,-0.6733,0.3779,0.7429,3.2405999999999997,1.0715,4.3121
telephone,2026-09-01 15:37:23,0.6121,-0.7322,-1.3313,0.3423,0.6345,-1.2273,0.6379999999999999,1.4234,2.0614
telephone,2026-09-01 15:37:23,-2.5083,0.5027,-1.6667,0.5205,1.3037,-2.7983,2.0532,3.1307,5.1839
telephone,2026-09-01 15:37:23,-1.2952,1.6477,-0.2737,-0.3398,-0.9658,1.7827,1.1136,2.0558,3.1694
telephone,2026-09-01 15:37:23,-1.1736,-2.9258,-3.6133,-1.2297,-1.3926,3.2988,3.7952000000000004,3.786,7.5812
telephone,2026-09-01 15:37:23,-0.0845,-0.7808,-1.1543,0.6797,0.3101,-0.7649,0.3960999999999999,1.0692,1.4653
telephone,2026-09-01 15:37:23,-0.3477,-0.2026,-0.6782,0.6199,1.0278,-2.1787,0.21140000000000003,2.4874,2.6988
telephone,2026-09-01 15:37:23,-1.9131,3.5981,-0.0979,0.1741,0.5254,-0.7419,3.0763,0.9256,4.0019
telephone,2026-09-01 15:37:24,-1.6348,0.3848,-0.8176,-0.1204,-1.2695,2.772,0.8678999999999999,3.0512,3.9191
telephone,2026-09-01 15:37:24,1.2729,-2.7844,-2.7778,-0.4006,-0.1023,1.2253,3.1338999999999997,1.2932,4.4271
telephone,2026-09-01 15:37:24,0.3384,-1.207,-1.8782,0.4421,0.4539,-0.938,1.2581000000000002,1.132,2.3901
telephone,2026-09-01 15:37:24,-1.7661,0.3545,-1.4688,0.9443,1.4609,-2.7771,1.3243,3.2769,4.6012
telephone,2026-09-01 15:37:24,-1.1794,2.3977,-0.1606,-0.2144,-0.6777,1.2693,1.6768999999999998,1.4548,3.1317
telephone,2026-09-01 15:37:24,-0.4668,-1.6785,-0.7131,0.7476,-1.23,2.6409,0.8825000000000001,3.0077,3.8902
telephone,2026-09-01 15:37:24,0.811,-0.394,-0.0703,1.0674,0.4932,-0.6169,0.09560000000000002,1.3278,1.4234
telephone,2026-09-01 15:37:24,-0.115,0.6152,-0.4497,0.4883,-0.3547,0.304,0.22929999999999995,0.6758,0.9051
telephone,2026-09-01 15:37:24,0.3799,-0.2373,-1.637,0.7617,-0.1895,0.4001,0.6972,0.881,1.5782
telephone,2026-09-01 15:37:24,0.2166,-0.2979,-0.5186,0.6516,-0.0713,0.4104,0.3639,0.7734,1.1373
telephone,2026-09-01 15:37:25,0.3171,-0.6313,-0.9551,-0.2283,-0.2114,0.0159,0.18799999999999994,0.3116,0.4996
telephone,2026-09-01 15:37:25,0.1948,-0.5603,-0.8547,-0.4973,-0.0466,0.0686,0.04039999999999999,0.5042,0.5446
telephone,2026-09-01 15:37:25,0.1182,-0.3601,-0.9844,-0.1128,-0.1282,0.0891,0.05479999999999996,0.1926,0.2474
telephone,2026-09-01 15:37:25,0.0908,-0.1946,-1.0068,-0.5623,0.0535,0.0527,0.029400000000000093,0.5673,0.5967
telephone,2026-09-01 15:37:25,0.134,-0.1003,-0.9854,-0.0269,0.0002,0.1453,0.0004999999999999449,0.1478,0.1483
telephone,2026-09-01 15:37:25,0.1333,-0.0298,-0.9905,-0.0005,0.0005,-0.0046,9.999999999998899e-05,0.0047,0.0048
telephone,2026-09-01 15:37:25,0.1328,-0.0315,-0.989,0.0002,0.0007,-0.0046,0.0016000000000000458,0.0047,0.0063
telephone,2026-09-01 15:37:25,0.134,-0.031,-0.9888,0.0005,0.0007,-0.0046,0.0017000000000000348,0.0047,0.0064
telephone,2026-09-01 15:37:25,0.1331,-0.0293,-0.989,0.0002,0.0007,-0.0046,0.0017000000000000348,0.0047,0.0064
telephone,2026-09-01 15:37:25,0.1326,-0.0298,-0.9907,0.0002,0.0007,-0.0049,0.0,0.005,0.005
telephone,2026-09-01 15:37:26,0.1345,-0.0315,-0.9897,0.0002,0.0002,-0.0046,0.0007000000000000339,0.0046,0.0053
telephone,2026-09-01 15:37:26,0.1321,-0.0308,-0.988,0.0,0.0005,-0.0046,0.0027000000000000357,0.0046,0.0073
telephone,2026-09-01 15:37:26,0.1333,-0.0286,-0.9888,0.0002,0.0005,-0.0049,0.0018000000000000238,0.0049,0.0067
telephone,2026-09-01 15:37:26,0.1326,-0.03,-0.9885,0.0,0.0005,-0.0046,0.0021999999999999797,0.0046,0.0068
telephone,2026-09-01 15:37:26,0.134,-0.03,-0.9895,0.0005,0.0005,-0.0046,0.0010000000000000009,0.0047,0.0057
telephone,2026-09-01 15:37:26,0.1323,-0.0305,-0.9883,0.0002,0.0005,-0.0046,0.0023999999999999577,0.0046,0.007
telephone,2026-09-01 15:37:26,0.1333,-0.0298,-0.9854,0.001,0.0005,-0.0044,0.005199999999999982,0.0045,0.0097
telephone,2026-09-01 15:37:26,0.1328,-0.0291,-0.9871,0.0002,0.0005,-0.0046,0.0036000000000000476,0.0046,0.0082
telephone,2026-09-01 15:37:26,0.1333,-0.031,-0.9883,0.0005,0.0005,-0.0046,0.0022999999999999687,0.0047,0.007
telephone,2026-09-01 15:37:27,0.1338,-0.0312,-0.9888,0.0002,0.0005,-0.0049,0.0017000000000000348,0.0049,0.0066
telephone,2026-09-01 15:37:27,0.1333,-0.0286,-0.989,0.0002,0.0005,-0.0046,0.0016000000000000458,0.0046,0.0062
telephone,2026-09-01 15:37:27,0.1328,-0.0308,-0.988,0.0002,0.0005,-0.0046,0.0026000000000000467,0.0046,0.0072
telephone,2026-09-01 15:37:27,0.1343,-0.0293,-0.9895,0.0005,0.0005,-0.0049,0.0010000000000000009,0.005,0.006
telephone,2026-09-01 15:37:27,0.1321,-0.03,-0.9871,0.0005,0.0007,-0.0049,0.0036000000000000476,0.005,0.0086
telephone,2026-09-01 15:37:27,0.1318,-0.03,-0.9841,0.0,0.0007,-0.0046,0.006700000000000039,0.0047,0.0114
telephone,2026-09-01 15:37:27,0.1338,-0.03,-0.9905,0.0005,0.0005,-0.0046,9.999999999998899e-05,0.0047,0.0048
telephone,2026-09-01 15:37:27,0.1326,-0.0308,-0.9888,0.0005,0.0005,-0.0044,0.0019000000000000128,0.0045,0.0064
telephone,2026-09-01 15:37:27,0.1323,-0.0291,-0.9873,0.0,0.0005,-0.0049,0.0034999999999999476,0.0049,0.0084
telephone,2026-09-01 15:37:27,0.1338,-0.03,-0.9893,0.0002,0.0007,-0.0046,0.0011999999999999789,0.0047,0.0059
telephone,2026-09-01 15:37:28,0.1331,-0.0322,-0.9905,0.0002,0.0005,-0.0049,9.999999999998899e-05,0.0049,0.005
telephone,2026-09-01 15:37:28,0.1328,-0.0288,-0.9883,0.0005,0.0005,-0.0046,0.0023999999999999577,0.0047,0.0071
telephone,2026-09-01 15:37:28,0.1335,-0.0305,-0.9897,0.0005,0.0007,-0.0046,0.0009000000000000119,0.0047,0.0056
telephone,2026-09-01 15:37:28,0.1338,-0.0308,-0.989,0.0005,0.0007,-0.0046,0.0014999999999999458,0.0047,0.0062
telephone,2026-09-01 15:37:28,0.1318,-0.0305,-0.988,0.0005,0.0005,-0.0046,0.0028000000000000247,0.0047,0.0075
telephone,2026-09-01 15:37:28,0.1321,-0.0286,-0.9885,0.0002,0.0007,-0.0046,0.0022999999999999687,0.0047,0.007
telephone,2026-09-01 15:37:28,0.1331,-0.0293,-0.9883,0.0002,0.0007,-0.0046,0.0022999999999999687,0.0047,0.007
telephone,2026-09-01 15:37:28,0.1331,-0.0295,-0.9897,-0.0002,0.0007,-0.0049,0.0010000000000000009,0.005,0.006
telephone,2026-09-01 15:37:28,0.1333,-0.0286,-0.9868,-0.0044,-0.0002,-0.0054,0.0038000000000000256,0.007,0.0108
telephone,2026-09-01 15:37:29,0.1335,-0.0278,-0.9885,0.0015,0.0007,-0.0046,0.0020999999999999908,0.0049,0.007
telephone,2026-09-01 15:37:29,0.1331,-0.031,-0.9897,0.0022,0.001,-0.0046,0.0009000000000000119,0.0052,0.0061
telephone,2026-09-01 15:37:29,0.1333,-0.0278,-0.9878,0.0002,0.0005,-0.0046,0.0029000000000000137,0.0046,0.0075
telephone,2026-09-01 15:37:29,0.1335,-0.0312,-0.9883,0.0005,0.0005,-0.0049,0.0021999999999999797,0.005,0.0072
telephone,2026-09-01 15:37:29,0.1328,-0.0298,-0.9883,0.0007,0.0007,-0.0049,0.0023999999999999577,0.005,0.0074
telephone,2026-09-01 15:37:29,0.1323,-0.0291,-0.9878,0.0,0.0005,-0.0049,0.0030000000000000027,0.0049,0.0079
telephone,2026-09-01 15:37:29,0.1331,-0.0293,-0.9885,0.0005,0.0005,-0.0046,0.0020999999999999908,0.0047,0.0068
telephone,2026-09-01 15:37:29,0.1328,-0.0305,-0.9888,0.0002,0.0005,-0.0046,0.0019000000000000128,0.0046,0.0065
telephone,2026-09-01 15:37:29,0.1333,-0.0298,-0.9883,0.0007,0.0005,-0.0049,0.0022999999999999687,0.005,0.0073
telephone,2026-09-01 15:37:29,0.1326,-0.0295,-0.9883,0.0002,0.0007,-0.0049,0.0023999999999999577,0.005,0.0074
telephone,2026-09-01 15:37:30,0.1338,-0.0303,-0.9885,0.0002,0.0002,-0.0046,0.0020000000000000018,0.0046,0.0066
telephone,2026-09-01 15:37:30,0.1326,-0.03,-0.9878,0.0002,0.0007,-0.0049,0.0029000000000000137,0.005,0.0079
telephone,2026-09-01 15:37:30,0.1331,-0.0315,-0.9897,0.0002,0.0007,-0.0046,0.0009000000000000119,0.0047,0.0056
telephone,2026-09-01 15:37:30,0.1333,-0.0303,-0.9888,0.0005,0.0007,-0.0049,0.0018000000000000238,0.005,0.0068
telephone,2026-09-01 15:37:30,0.1328,-0.0293,-0.989,0.0005,0.001,-0.0049,0.0017000000000000348,0.005,0.0067
telephone,2026-09-01 15:37:30,0.1338,-0.03,-0.9878,0.0,0.001,-0.0046,0.0027000000000000357,0.0047,0.0074
telephone,2026-09-01 15:37:30,0.1333,-0.0312,-0.9888,0.0002,0.0005,-0.0049,0.0018000000000000238,0.0049,0.0067
telephone,2026-09-01 15:37:30,0.1331,-0.03,-0.989,0.0005,0.0005,-0.0046,0.0016000000000000458,0.0047,0.0063
telephone,2026-09-01 15:37:30,0.1338,-0.0295,-0.9893,0.0002,0.0005,-0.0046,0.0012999999999999678,0.0046,0.0059
telephone,2026-09-01 15:37:30,0.1333,-0.0308,-0.9893,0.0,0.0005,-0.0046,0.0012999999999999678,0.0046,0.0059
telephone,2026-09-01 15:37:31,0.1335,-0.03,-0.988,0.0,0.0007,-0.0049,0.0026000000000000467,0.0049,0.0075
telephone,2026-09-01 15:37:31,0.1323,-0.0298,-0.988,0.0005,0.0005,-0.0049,0.0027000000000000357,0.005,0.0077
telephone,2026-09-01 15:37:31,0.1318,-0.0295,-0.9893,0.0002,0.0007,-0.0051,0.0014999999999999458,0.0052,0.0067
telephone,2026-09-01 15:37:31,0.1321,-0.03,-0.9878,0.0002,0.0007,-0.0049,0.0030000000000000027,0.005,0.008
telephone,2026-09-01 15:37:31,0.1333,-0.03,-0.9895,0.0007,0.001,-0.0049,0.0010999999999999899,0.005,0.0061
telephone,2026-09-01 15:37:31,0.1333,-0.0305,-0.988,0.0,0.0005,-0.0049,0.0026000000000000467,0.0049,0.0075
telephone,2026-09-01 15:37:31,0.1328,-0.0291,-0.989,0.0007,0.0007,-0.0049,0.0017000000000000348,0.005,0.0067
telephone,2026-09-01 15:37:31,0.1335,-0.0312,-0.9875,0.0,0.0005,-0.0049,0.0030000000000000027,0.0049,0.0079
telephone,2026-09-01 15:37:31,0.1331,-0.0303,-0.9885,0.0002,0.001,-0.0049,0.0020999999999999908,0.005,0.0071
